startdate,starttime,cad_eventtype_code,cad_eventtype,lat,lng,neighborhood
05/12/15 12:00 AM,01:50:33 AM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2641,-71.10497,HydePark
05/24/15 12:00 PM,07:27:33 PM,UNKEMS, UNABLE TO DETERMINE IF CONS/MOVING (E) (F) (P) ,42.2641,-71.10497,HydePark
05/07/15 08:00 PM,07:24:39 PM,ABAN, ABANDONED CALL(P) ,42.2684,-71.09422,Mattapan
05/07/15 08:00 PM,07:30:54 PM,MISC, MISCELLANEOUS CALLS ,42.2684,-71.09422,Mattapan
03/05/15 04:00 AM,01:01:46 AM,DISTRB, DISTURBANCE ,42.2684,-71.09422,Mattapan
03/05/15 04:00 AM,02:58:17 AM,DISTRB, DISTURBANCE ,42.2684,-71.09422,Mattapan
03/09/15 08:00 AM,06:53:13 PM,MVA, MOTOR VEHICLE ACCIDENT,42.2688,-71.16461,Roxbury
05/24/15 12:00 PM,06:40:09 PM,VIORDR, VIOLATION OF THE RESTRAINING ORDER ,42.2732,-71.09252,Mattapan
03/13/15 12:00 PM,09:38:19 AM,TS, TRAFFIC STOP,42.2732,-71.09252,Mattapan
05/16/15 04:00 AM,12:16:17 AM,IVPER, INVESTIGATE PERSON,42.2735,-71.10339,Mattapan
05/07/15 08:00 PM,12:22:25 AM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2751,-71.09884,Mattapan
05/12/15 12:00 AM,09:34:50 AM,UNCONS, UNCONSCIOUS PERSON (E) (F) (P) ,42.2751,-71.09884,Mattapan
05/16/15 04:00 AM,03:11:18 PM,PROP, PROPERTY,42.2751,-71.09884,Mattapan
05/16/15 04:00 AM,10:09:43 PM,IVPER, INVESTIGATE PERSON,42.2751,-71.09884,Mattapan
05/16/15 04:00 AM,10:09:43 PM,VAND, VANDALISM ,42.2751,-71.09884,Mattapan
05/16/15 04:00 AM,11:26:54 PM,FIGHT, FIGHT,42.2751,-71.09884,Mattapan
05/20/15 08:00 AM,11:28:51 PM,BE, BREAKING AND ENTERING ,42.2751,-71.09884,Mattapan
05/28/15 04:00 PM,10:51:50 AM,EDP, EMOTIONALLY DISTURBED PERSON,42.2751,-71.09884,Mattapan
05/28/15 04:00 PM,10:51:50 AM,INVEST, INVESTIGATION ,42.2751,-71.09884,Mattapan
05/07/15 08:00 PM,12:00:06 AM,MISC, MISCELLANEOUS CALLS ,42.2761,-71.06901,Dorchester
05/20/15 08:00 AM,12:00:37 AM,ABAN, ABANDONED CALL(P) ,42.2763,-71.101,Mattapan
03/09/15 08:00 AM,12:09:57 AM,IVPREM, INVESTIGATE PREMISE ,42.2779,-71.13827,Roslindale
05/07/15 08:00 PM,05:10:01 PM,MISC, MISCELLANEOUS CALLS ,42.2786,-71.08059,Mattapan
05/07/15 08:00 PM,09:12:34 PM,IVPREM, INVESTIGATE PREMISE ,42.2787,-71.09762,Mattapan
03/05/15 04:00 AM,10:30:30 PM,BE, BREAKING AND ENTERING ,42.2802,-71.09788,Mattapan
05/07/15 08:00 PM,07:47:53 AM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2818,-71.13928,Roslindale
05/24/15 12:00 PM,03:24:14 PM,CD19RA, Walk and Talk RA,42.2834,-71.1582,Roxbury
05/24/15 12:00 PM,09:01:44 AM,CD19RA, Walk and Talk RA,42.2834,-71.1582,Roxbury
03/05/15 04:00 AM,02:04:33 AM,CD19, Walk and Talk ,42.2834,-71.1582,Roxbury
05/12/15 12:00 AM,01:33:42 AM,CD19, Walk and Talk ,42.2837,-71.12413,Roslindale
05/12/15 12:00 AM,06:06:12 AM,CD8, School Crossing ,42.2837,-71.12413,Roslindale
05/16/15 04:00 AM,12:27:52 AM,CD19, Walk and Talk ,42.2837,-71.12413,Roslindale
05/20/15 08:00 AM,12:15:05 AM,CD19, Walk and Talk ,42.2837,-71.12413,Roslindale
05/24/15 12:00 PM,11:28:06 AM,CD8, School Crossing ,42.2837,-71.12413,Roslindale
05/24/15 12:00 PM,12:33:58 AM,CD19, Walk and Talk ,42.2837,-71.12413,Roslindale
05/28/15 04:00 PM,12:30:26 AM,CD19, Walk and Talk ,42.2837,-71.12413,Roslindale
03/05/15 04:00 AM,01:13:37 AM,CD19, Walk and Talk ,42.2837,-71.12413,Roslindale
03/05/15 04:00 AM,01:26:52 AM,CD19, Walk and Talk ,42.2837,-71.12413,Roslindale
03/09/15 08:00 AM,02:14:14 AM,CD19, Walk and Talk ,42.2837,-71.12413,Roslindale
03/13/15 12:00 PM,12:29:58 AM,CD19, Walk and Talk ,42.2837,-71.12413,Roslindale
05/24/15 12:00 PM,03:52:01 PM,LANTEN, LANDORD TENNANT ISSUE ,42.2838,-71.08074,Dorchester
05/24/15 12:00 PM,07:21:12 PM,LANTEN, LANDORD TENNANT ISSUE ,42.2838,-71.08074,Dorchester
03/09/15 08:00 AM,09:48:29 PM,DISTRB, DISTURBANCE ,42.2838,-71.08074,Dorchester
03/05/15 04:00 AM,02:28:16 AM,MISC, MISCELLANEOUS CALLS ,42.2843,-71.13446,Roslindale
05/07/15 08:00 PM,12:48:28 AM,MISC, MISCELLANEOUS CALLS ,42.2852,-71.040199,Dorchester
05/07/15 08:00 PM,12:54:51 AM,IVPER, INVESTIGATE PERSON,42.2859,-71.09354,Mattapan
05/12/15 12:00 AM,11:17:50 AM,CD7, Escort Duty ,42.2859,-71.09354,Mattapan
05/16/15 04:00 AM,07:15:45 AM,ABAN, ABANDONED CALL(P) ,42.2861,-71.05917,Dorchester
05/28/15 04:00 PM,02:58:02 PM,FIRE, FIRE ,42.2861,-71.05248,Dorchester
03/05/15 04:00 AM,10:58:13 PM,ABAN, ABANDONED CALL(P) ,42.2861,-71.05917,Dorchester
05/07/15 08:00 PM,07:44:51 PM,CD19, Walk and Talk ,42.2862,-71.08574,Mattapan
05/07/15 08:00 PM,11:45:32 AM,CD11, Warrant Service ,42.2863,-71.14188,Roslindale
05/12/15 12:00 AM,02:29:27 PM,IVPER, INVESTIGATE PERSON,42.2863,-71.14188,Roslindale
05/12/15 12:00 AM,11:07:12 AM,CD11, Warrant Service ,42.2863,-71.14188,Roslindale
05/28/15 04:00 PM,01:36:13 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2863,-71.08852,Mattapan
05/28/15 04:00 PM,05:25:22 PM,LARCENY, LARCENY,42.2863,-71.14188,Roslindale
05/28/15 04:00 PM,10:50:18 AM,CD11, Warrant Service ,42.2863,-71.14188,Roslindale
03/05/15 04:00 AM,09:21:56 AM,CD11, Warrant Service ,42.2863,-71.14188,Roslindale
03/09/15 08:00 AM,06:40:15 PM,MISC, MISCELLANEOUS CALLS ,42.2863,-71.14188,Roslindale
05/07/15 08:00 PM,05:12:31 PM,CD19, Walk and Talk ,42.2871,-71.12896,Roslindale
03/13/15 12:00 PM,05:19:16 PM,ABAN, ABANDONED CALL(P) ,42.2877,-71.08525,Mattapan
03/13/15 12:00 PM,05:19:16 PM,IVPER, INVESTIGATE PERSON,42.2877,-71.08525,Mattapan
03/13/15 12:00 PM,05:23:09 PM,IVPER, INVESTIGATE PERSON,42.2877,-71.04047,Dorchester
05/20/15 08:00 AM,06:13:02 AM,CD11, Warrant Service ,42.2878,-71.08362,Mattapan
05/20/15 08:00 AM,09:18:40 AM,IVPREM, INVESTIGATE PREMISE ,42.2878,-71.08362,Mattapan
03/05/15 04:00 AM,05:26:27 PM,LARCENY, LARCENY,42.2878,-71.08362,Mattapan
03/05/15 04:00 AM,11:53:31 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2878,-71.08362,Mattapan
03/05/15 04:00 AM,12:09:54 AM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2878,-71.08362,Mattapan
05/28/15 04:00 PM,06:09:18 AM,PRSCRM, PERSON SCREAMING FOR HELP ,42.2879,-71.08964,Mattapan
03/13/15 12:00 PM,07:18:56 PM,LARCENY, LARCENY,42.2879,-71.08964,Mattapan
05/16/15 04:00 AM,05:43:16 AM,ABAN, ABANDONED CALL(P) ,42.2882,-71.11777,JamaicaPlain
05/20/15 08:00 AM,02:39:39 PM,ABAN, ABANDONED CALL(P) ,42.2882,-71.11777,JamaicaPlain
05/16/15 04:00 AM,09:08:57 PM,STREET, STREET CLOSURE NOTIFICATION ,42.2886,-71.065864,Dorchester
05/20/15 08:00 AM,02:56:31 PM,IVPER, INVESTIGATE PERSON,42.2886,-71.065864,Dorchester
05/20/15 08:00 AM,11:36:36 AM,REQP, Request BPD Response,42.2886,-71.065864,Dorchester
05/24/15 12:00 PM,04:03:52 AM,TS, TRAFFIC STOP,42.2886,-71.065864,Dorchester
03/05/15 04:00 AM,01:37:03 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2893,-71.07792,Dorchester
03/05/15 04:00 AM,10:55:38 AM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2893,-71.07792,Dorchester
05/07/15 08:00 PM,02:31:39 PM,MVA, MOTOR VEHICLE ACCIDENT,42.2899,-71.06262,Dorchester
05/07/15 08:00 PM,06:15:31 PM,MVA, MOTOR VEHICLE ACCIDENT,42.2899,-71.06262,Dorchester
05/12/15 12:00 AM,01:20:38 AM,ARREST, ARREST REPORT ,42.2899,-71.06262,Dorchester
05/20/15 08:00 AM,10:28:23 PM,MVA, MOTOR VEHICLE ACCIDENT,42.2899,-71.06262,Dorchester
03/13/15 12:00 PM,10:02:37 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2899,-71.06262,Dorchester
03/13/15 12:00 PM,11:08:41 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2899,-71.06262,Dorchester
03/09/15 08:00 AM,07:40:10 AM,ALARM, ALARM,42.2901,-71.13625,Roslindale
05/24/15 12:00 PM,07:29:37 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2916,-71.07423,Dorchester
05/12/15 12:00 AM,11:59:12 AM,DISTRB, DISTURBANCE ,42.2932,-71.07244,Dorchester
05/16/15 04:00 AM,02:59:26 AM,ABAN, ABANDONED CALL(P) ,42.2933,-71.06272,Dorchester
03/05/15 04:00 AM,12:35:13 AM,MISC, MISCELLANEOUS CALLS ,42.2933,-71.06272,Dorchester
03/09/15 08:00 AM,01:11:53 PM,MVA, MOTOR VEHICLE ACCIDENT,42.2933,-71.07958,Mattapan
03/09/15 08:00 AM,10:47:02 AM,MVA, MOTOR VEHICLE ACCIDENT,42.2933,-71.07958,Mattapan
05/24/15 12:00 PM,03:23:46 PM,BE, BREAKING AND ENTERING ,42.2939,-71.06528,Dorchester
05/07/15 08:00 PM,01:38:48 AM,MISC, MISCELLANEOUS CALLS ,42.2945,-71.07904,Mattapan
05/12/15 12:00 AM,06:27:08 AM,ABAN, ABANDONED CALL(P) ,42.2945,-71.07904,Mattapan
05/12/15 12:00 AM,07:10:31 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2945,-71.06077,Dorchester
05/28/15 04:00 PM,05:16:45 PM,PROP, PROPERTY,42.2947,-71.08602,Mattapan
05/12/15 12:00 AM,11:12:11 AM,CD9, Station Assignment,42.2948,-71.0754,Dorchester
05/12/15 12:00 AM,10:05:29 AM,CD11, Warrant Service ,42.2959,-71.08683,Mattapan
05/20/15 08:00 AM,08:27:00 AM,CD11, Warrant Service ,42.2959,-71.08683,Mattapan
05/28/15 04:00 PM,06:54:56 PM,TS, TRAFFIC STOP,42.2959,-71.08793,Mattapan
03/05/15 04:00 AM,02:26:47 AM,FIGHT, FIGHT,42.2959,-71.08793,Mattapan
05/28/15 04:00 PM,05:25:51 PM,LANTEN, LANDORD TENNANT ISSUE ,42.2963,-71.06756,Dorchester
03/09/15 08:00 AM,10:52:37 PM,DISTRB, DISTURBANCE ,42.2963,-71.06756,Dorchester
05/16/15 04:00 AM,06:05:47 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.2969,-71.05746,Dorchester
05/07/15 08:00 PM,03:47:41 PM,PROP, PROPERTY,42.2973,-71.076014,Dorchester
05/28/15 04:00 PM,07:02:54 PM,IVPER, INVESTIGATE PERSON,42.2973,-71.076014,Dorchester
05/07/15 08:00 PM,02:01:12 PM,REQP, Request BPD Response,42.2989,-71.071987,Dorchester
05/07/15 08:00 PM,06:54:57 PM,IVPER, INVESTIGATE PERSON,42.2991,-71.0835,Mattapan
05/16/15 04:00 AM,09:07:22 PM,IVPER, INVESTIGATE PERSON,42.2991,-71.0835,Mattapan
05/24/15 12:00 PM,02:19:22 PM,LARCENY, LARCENY,42.2991,-71.0835,Mattapan
05/16/15 04:00 AM,06:12:22 PM,ABAN, ABANDONED CALL(P) ,42.2999,-71.064929,Dorchester
05/24/15 12:00 PM,10:13:20 AM,ABAN, ABANDONED CALL(P) ,42.2999,-71.064929,Dorchester
05/28/15 04:00 PM,10:22:02 PM,IVPER, INVESTIGATE PERSON,42.2999,-71.064929,Dorchester
03/05/15 04:00 AM,10:47:28 PM,ABAN, ABANDONED CALL(P) ,42.2999,-71.064929,Dorchester
03/05/15 04:00 AM,11:43:23 AM,PROP, PROPERTY,42.2999,-71.064929,Dorchester
05/12/15 12:00 AM,06:45:37 PM,MVA, MOTOR VEHICLE ACCIDENT,42.3004,-71.06913,Dorchester
05/24/15 12:00 PM,06:18:00 PM,MISSING, INVESTIGATE PERSON,42.3006,-71.05867,Dorchester
05/28/15 04:00 PM,10:04:11 PM,IVPER, INVESTIGATE PERSON,42.3006,-71.05867,Dorchester
05/07/15 08:00 PM,09:41:18 AM,ABAN, ABANDONED CALL(P) ,42.3017,-71.07173,Dorchester
05/28/15 04:00 PM,04:07:04 PM,IVPER, INVESTIGATE PERSON,42.3025,-71.06264,Dorchester
05/12/15 12:00 AM,09:01:27 PM,IVPER, INVESTIGATE PERSON,42.3036,-71.072037,Dorchester
05/20/15 08:00 AM,10:05:49 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.3036,-71.08063,Roxbury
05/20/15 08:00 AM,12:35:18 AM,IVPER, INVESTIGATE PERSON,42.3038,-71.10704,JamaicaPlain
05/16/15 04:00 AM,07:34:54 PM,MISC, MISCELLANEOUS CALLS ,42.3049,-71.06921,Dorchester
03/13/15 12:00 PM,02:02:37 AM,TS, TRAFFIC STOP,42.3061,-71.07744,Roxbury
05/07/15 08:00 PM,02:04:26 PM,REQP, Request BPD Response,42.3076,-71.08734,Roxbury
05/20/15 08:00 AM,03:26:26 PM,LARCENY, LARCENY,42.3089,-71.06158,Dorchester
05/20/15 08:00 AM,06:33:18 PM,BE, BREAKING AND ENTERING ,42.3089,-71.06158,Dorchester
05/16/15 04:00 AM,06:40:01 AM,UNK, UNKNOWN PROBLEM ,42.3099,-71.08525,Roxbury
05/07/15 08:00 PM,09:56:19 PM,ABAN, ABANDONED CALL(P) ,42.3104,-71.05268,Dorchester
05/12/15 12:00 AM,07:13:42 PM,MISC, MISCELLANEOUS CALLS ,42.3125,-71.07507,Roxbury
05/28/15 04:00 PM,05:35:08 PM,MISC, MISCELLANEOUS CALLS ,42.3138,-71.06993,Dorchester
05/28/15 04:00 PM,07:36:49 PM,ABAN, ABANDONED CALL(P) ,42.3138,-71.06993,Dorchester
05/28/15 04:00 PM,12:23:45 AM,ABAN, ABANDONED CALL(P) ,42.3138,-71.06993,Dorchester
03/05/15 04:00 AM,09:51:59 AM,ABAN, ABANDONED CALL(P) ,42.3138,-71.06993,Dorchester
03/09/15 08:00 AM,04:26:21 PM,ABAN, ABANDONED CALL(P) ,42.3138,-71.06993,Dorchester
03/13/15 12:00 PM,03:51:50 PM,MISC, MISCELLANEOUS CALLS ,42.3138,-71.06993,Dorchester
05/20/15 08:00 AM,12:44:09 AM,ABAN, ABANDONED CALL(P) ,42.3144,-71.06897,Dorchester
03/09/15 08:00 AM,09:22:43 AM,STREET, STREET CLOSURE NOTIFICATION ,42.3162,-71.08183,Roxbury
03/13/15 12:00 PM,11:43:39 AM,ALARM, ALARM,42.3167,-71.09154,Roxbury
05/20/15 08:00 AM,04:04:49 PM,MVA, MOTOR VEHICLE ACCIDENT,42.3172,-71.05566,Dorchester
05/24/15 12:00 PM,12:02:58 AM,VAND, VANDALISM ,42.3172,-71.05566,Dorchester
03/13/15 12:00 PM,12:05:08 AM,INVEST, INVESTIGATION ,42.3173,-71.06506,Dorchester
03/13/15 12:00 PM,01:48:42 PM,FIRE, FIRE ,42.3177,-71.09276,Roxbury
03/05/15 04:00 AM,01:56:14 AM,MVA, MOTOR VEHICLE ACCIDENT,42.3179,-71.0751,Roxbury
03/05/15 04:00 AM,03:34:58 AM,INVEST, INVESTIGATION ,42.3179,-71.0751,Roxbury
03/05/15 04:00 AM,07:39:47 PM,IVPER, INVESTIGATE PERSON,42.3179,-71.0751,Roxbury
05/24/15 12:00 PM,11:51:39 PM,ALARM, ALARM,42.3185,-71.11295,JamaicaPlain
03/09/15 08:00 AM,10:43:17 AM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.3185,-71.11295,JamaicaPlain
05/16/15 04:00 AM,06:13:34 PM,ABAN, ABANDONED CALL(P) ,42.3205,-71.06496,Dorchester
03/09/15 08:00 AM,05:23:33 AM,ABAN, ABANDONED CALL(P) ,42.3214,-71.077239,Roxbury
03/13/15 12:00 PM,08:35:05 AM,MVA, MOTOR VEHICLE ACCIDENT,42.3214,-71.077239,Roxbury
05/16/15 04:00 AM,09:26:39 AM,ALARM, ALARM,42.3217,-71.08318,Roxbury
05/24/15 12:00 PM,08:22:48 AM,ABAN, ABANDONED CALL(P) ,42.3225,-71.08796,Roxbury
05/20/15 08:00 AM,05:00:04 PM,CD19, Walk and Talk ,42.3226,-71.07247,Roxbury
05/20/15 08:00 AM,05:08:22 PM,CD19, Walk and Talk ,42.3226,-71.07247,Roxbury
05/07/15 08:00 PM,02:30:27 PM,MISC, MISCELLANEOUS CALLS ,42.3231,-71.10167,JamaicaPlain
05/28/15 04:00 PM,11:13:49 AM,CD19, Walk and Talk ,42.3231,-71.10167,JamaicaPlain
05/20/15 08:00 AM,03:20:18 AM,IVPER, INVESTIGATE PERSON,42.3238,-71.10664,JamaicaPlain
05/20/15 08:00 AM,02:52:59 AM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.3249,-71.08223,Roxbury
05/16/15 04:00 AM,12:04:40 AM,ABAN, ABANDONED CALL(P) ,42.3261,-71.083045,Roxbury
05/07/15 08:00 PM,12:32:05 AM,CD19, Walk and Talk ,42.3263,-71.06527,Dorchester
05/12/15 12:00 AM,02:21:11 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.3263,-71.06527,Dorchester
05/24/15 12:00 PM,05:59:15 PM,IVPER, INVESTIGATE PERSON,42.3263,-71.06527,Dorchester
05/24/15 12:00 PM,09:47:02 PM,CD19, Walk and Talk ,42.3263,-71.06527,Dorchester
05/28/15 04:00 PM,11:04:35 AM,MVA, MOTOR VEHICLE ACCIDENT,42.3263,-71.06527,Dorchester
03/09/15 08:00 AM,03:57:33 PM,MVA, MOTOR VEHICLE ACCIDENT,42.3263,-71.06527,Dorchester
05/07/15 08:00 PM,01:28:45 PM,CD8, School Crossing ,42.3276,-71.08272,Roxbury
05/12/15 12:00 AM,11:05:58 AM,ABAN, ABANDONED CALL(P) ,42.3276,-71.08272,Roxbury
05/20/15 08:00 AM,06:22:10 PM,AB, ASSAULT AND BATTERY ,42.3276,-71.08272,Roxbury
05/20/15 08:00 AM,06:22:10 PM,FIGHT, FIGHT,42.3276,-71.08272,Roxbury
05/20/15 08:00 AM,09:49:12 AM,MISC, MISCELLANEOUS CALLS ,42.3276,-71.08272,Roxbury
03/05/15 04:00 AM,04:34:17 PM,ALARM, ALARM,42.3276,-71.08272,Roxbury
03/09/15 08:00 AM,07:12:46 AM,IVPREM, INVESTIGATE PREMISE ,42.3276,-71.08272,Roxbury
05/07/15 08:00 PM,12:07:02 AM,IVPER, INVESTIGATE PERSON,42.3278,-71.09231,Roxbury
05/16/15 04:00 AM,08:23:32 PM,VAND, VANDALISM ,42.3288,-71.09921,MissionHill
05/16/15 04:00 AM,10:34:25 PM,CD35, License Check ,42.3314,-71.0463,Other
05/24/15 12:00 PM,05:55:12 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.3314,-71.082765,Roxbury
03/09/15 08:00 AM,04:11:44 PM,BE, BREAKING AND ENTERING ,42.3329,-71.02958,Other
05/20/15 08:00 AM,06:12:37 PM,AB, ASSAULT AND BATTERY ,42.3354,-71.08292,Roxbury
03/05/15 04:00 AM,04:04:07 PM,VAND, VANDALISM ,42.3354,-71.08292,Roxbury
05/20/15 08:00 AM,01:23:04 PM,ABAN, ABANDONED CALL(P) ,42.3358,-71.046744,Other
03/09/15 08:00 AM,06:27:56 PM,IVPER, INVESTIGATE PERSON,42.3365,-71.08711,Roxbury
03/13/15 12:00 PM,08:01:01 PM,SS, SUSPECT STOP,42.3365,-71.08403,Roxbury
05/20/15 08:00 AM,10:58:16 AM,ALARM, ALARM,42.3367,-71.07623,SouthEnd
05/24/15 12:00 PM,08:25:49 PM,IVPER, INVESTIGATE PERSON,42.3375,-71.07719,SouthEnd
03/05/15 04:00 AM,12:25:55 AM,UNCONS, UNCONSCIOUS PERSON (E) (F) (P) ,42.3376,-71.07898,Roxbury
03/05/15 04:00 AM,12:40:11 AM,MVA, MOTOR VEHICLE ACCIDENT,42.3376,-71.07898,Roxbury
03/05/15 04:00 AM,03:03:05 AM,ABAN, ABANDONED CALL(P) ,42.3408,-71.14559,Allston/Brighton
03/09/15 08:00 AM,08:40:57 PM,ABAN, ABANDONED CALL(P) ,42.3408,-71.14559,Allston/Brighton
03/09/15 08:00 AM,12:06:50 AM,ABAN, ABANDONED CALL(P) ,42.3408,-71.14559,Allston/Brighton
03/13/15 12:00 PM,04:02:45 AM,ABAN, ABANDONED CALL(P) ,42.3408,-71.14559,Allston/Brighton
05/24/15 12:00 PM,01:56:53 AM,DISTRB, DISTURBANCE ,42.3433,-71.09072,Fenway/Kenmore
05/16/15 04:00 AM,04:20:08 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.3459,-71.106469,Fenway/Kenmore
05/20/15 08:00 AM,11:21:30 AM,IVPER, INVESTIGATE PERSON,42.3461,-71.08033,Boston
03/09/15 08:00 AM,03:54:54 PM,MISC, MISCELLANEOUS CALLS ,42.3464,-71.08902,Boston
03/09/15 08:00 AM,01:14:27 PM,REQEP, Request EMS and BPD Response,42.3485,-71.07476,Boston
05/24/15 12:00 PM,11:50:31 PM,DISTRB, DISTURBANCE ,42.3487,-71.14118,Allston/Brighton
05/28/15 04:00 PM,09:15:13 PM,IVPER, INVESTIGATE PERSON,42.3494,-71.09361,Fenway/Kenmore
05/24/15 12:00 PM,12:45:40 AM,UNCONS, UNCONSCIOUS PERSON (E) (F) (P) ,42.3497,-71.06407,Boston
05/07/15 08:00 PM,06:41:44 AM,LARCENY, LARCENY,42.3516,-71.16054,Allston/Brighton
05/12/15 12:00 AM,05:52:52 PM,IVPREM, INVESTIGATE PREMISE ,42.3516,-71.16054,Allston/Brighton
05/12/15 12:00 AM,05:52:52 PM,PROP, PROPERTY,42.3516,-71.16054,Allston/Brighton
05/24/15 12:00 PM,05:45:04 PM,VAND, VANDALISM ,42.3582,-71.12706,Allston/Brighton
03/05/15 04:00 AM,09:17:07 AM,MISC, MISCELLANEOUS CALLS ,42.3582,-71.12706,Allston/Brighton
03/09/15 08:00 AM,02:50:57 PM,MISC, MISCELLANEOUS CALLS ,42.3582,-71.12706,Allston/Brighton
05/24/15 12:00 PM,12:45:03 AM,IVPER, INVESTIGATE PERSON,42.3591,-71.054358,Boston
05/20/15 08:00 AM,01:43:02 PM,MVA, MOTOR VEHICLE ACCIDENT,42.3594,-71.14133,Allston/Brighton
05/20/15 08:00 AM,12:32:48 AM,MVA, MOTOR VEHICLE ACCIDENT,42.3594,-71.14133,Allston/Brighton
05/12/15 12:00 AM,08:41:58 PM,VAND, VANDALISM ,42.3645,-71.051594,Boston
05/28/15 04:00 PM,07:15:28 PM,MISC, MISCELLANEOUS CALLS ,42.3646,-71.03157,EastBoston
